brand,bucket,outlets,via,subcategory
Din Tai Fung,East Asian (KR/JP/CN/TW),18,curated,Restaurant
LiHO,East Asian (KR/JP/CN/TW),18,curated,Cafe & Dessert Bar
CHICHA San Chen,East Asian (KR/JP/CN/TW),17,curated,Cafe & Dessert Bar
KOI Thé,East Asian (KR/JP/CN/TW),17,curated,Cafe & Dessert Bar
Luckin Coffee,East Asian (KR/JP/CN/TW),17,curated,Cafe & Dessert Bar
SUKIYA,East Asian (KR/JP/CN/TW),17,curated,Fast Food
Tori-Q,East Asian (KR/JP/CN/TW),17,curated,Fast Food
Chateraise,East Asian (KR/JP/CN/TW),16,curated,Bakery & Confectionery
Paris Baguette,East Asian (KR/JP/CN/TW),16,curated,Bakery & Confectionery
CHAGEE,East Asian (KR/JP/CN/TW),15,curated,Cafe & Dessert Bar
PlayMade,East Asian (KR/JP/CN/TW),15,curated,Cafe & Dessert Bar
Genki Sushi,East Asian (KR/JP/CN/TW),12,curated,Restaurant
Nine Fresh,East Asian (KR/JP/CN/TW),12,curated,Food Kiosk & Light Bites
MOS Burger,East Asian (KR/JP/CN/TW),11,curated,Breakfast
Sushi Express,East Asian (KR/JP/CN/TW),11,curated,Restaurant
Xiang Xiang Hunan Cuisine,East Asian (KR/JP/CN/TW),11,curated,Restaurant
Gong Yuan Ma La Tang,East Asian (KR/JP/CN/TW),10,curated,Restaurant
Sushi Tei,East Asian (KR/JP/CN/TW),10,curated,Restaurant
Sushiro,East Asian (KR/JP/CN/TW),10,curated,Restaurant
Gochi-So Shokudo,East Asian (KR/JP/CN/TW),9,curated,Restaurant
Haidilao Hot Pot,East Asian (KR/JP/CN/TW),9,curated,Restaurant
KOI THE,East Asian (KR/JP/CN/TW),9,curated,Cafe & Dessert Bar
PUTIEN,East Asian (KR/JP/CN/TW),9,curated,Restaurant
Shihlin Taiwan Street Snacks,East Asian (KR/JP/CN/TW),9,curated,Fast Food
Super Sushi,East Asian (KR/JP/CN/TW),9,curated,
Ichiban Boshi,East Asian (KR/JP/CN/TW),8,curated,
Mister Donut,East Asian (KR/JP/CN/TW),8,curated,Bakery & Confectionery
Monster Curry,East Asian (KR/JP/CN/TW),8,curated,Restaurant
Crystal Jade Hong Kong Kitchen,East Asian (KR/JP/CN/TW),7,curated,Restaurants
IPPUDO,East Asian (KR/JP/CN/TW),7,curated,Restaurant
Kuriya Japanese Market,East Asian (KR/JP/CN/TW),7,curated,
MIXUE,East Asian (KR/JP/CN/TW),7,curated,Cafes & Desserts
Maki-San,East Asian (KR/JP/CN/TW),7,curated,Food Kiosk & Light Bites
Tai Cheong Bakery,East Asian (KR/JP/CN/TW),7,curated,Food Kiosk & Light Bites
Tim Ho Wan,East Asian (KR/JP/CN/TW),7,curated,Restaurant
Yakiniku Like,East Asian (KR/JP/CN/TW),7,curated,Restaurant
Yakiniku Shokudo,East Asian (KR/JP/CN/TW),7,curated,Restaurant
BEUTEA,East Asian (KR/JP/CN/TW),6,curated,Food Kiosk & Light Bites
Eighteen Plum,East Asian (KR/JP/CN/TW),6,curated,
I Love Taimei,East Asian (KR/JP/CN/TW),6,curated,Fast Food
Kei Kaisendon,East Asian (KR/JP/CN/TW),6,curated,Restaurant
Mincheng Bibimbap,East Asian (KR/JP/CN/TW),6,curated,
NiKU iKU,East Asian (KR/JP/CN/TW),6,curated,
Tongue Tip Lanzhou Beef Noodles,East Asian (KR/JP/CN/TW),6,curated,Restaurant
Zhang Liang Mala Tang,East Asian (KR/JP/CN/TW),6,curated,Restaurant
4FINGERS Crispy Chicken,East Asian (KR/JP/CN/TW),5,keyword/other,
Aburi-EN,East Asian (KR/JP/CN/TW),5,keyword/other,Reservation
Ajumma's,East Asian (KR/JP/CN/TW),5,keyword/other,Restaurant
