,313@somerset,AMK Hub,Aperia Mall,Bedok Mall,Bugis Junction (Part of Bugis Town),Bugis+ (Part of Bugis Town),CQ @ Clarke Quay,Causeway Point,Century Square,City Square Mall,Clarke Quay Central,Far East Square,Funan,Great World,Greenwich V,HillV2,Hougang 1,Hougang Mall,IMM Building,ION Orchard,Icon Village,Jem,Jewel Changi Airport,Junction 10,Junction 8,Jurong Point,Katong V,Lot One Shoppers' Mall,Lucky Chinatown,Mandarin Gallery,Marina Square,Ngee Ann City,Northpoint City,One Holland Village,Orchard Central,PLQ Mall,Pacific Plaza,Paragon,Plaza Singapura,Raffles City Shopping Centre,Riverside Point,Sengkang Grand Mall,Square 2,Suntec City,Swing By @ Thomson Plaza,Tampines 1,Tampines Mall,The Centrepoint,The Shoppes at Marina Bay Sands,Tiong Bahru Plaza,United Square,Valley Point,Velocity@Novena Square,VivoCity,Waterway Point,West Coast Plaza,Westgate,White Sands,Wisma Atria
313@somerset,1.0,0.059,0.035,0.064,0.071,0.04,0.0,0.068,0.044,0.078,0.026,0.006,0.055,0.053,0.025,0.018,0.029,0.066,0.028,0.051,0.006,0.102,0.087,0.006,0.073,0.07,0.0,0.076,0.0,0.0,0.035,0.025,0.067,0.049,0.0,0.074,0.006,0.028,0.067,0.047,0.006,0.041,0.026,0.078,0.049,0.066,0.047,0.015,0.032,0.055,0.041,0.006,0.074,0.028,0.087,0.022,0.061,0.068,0.072
AMK Hub,0.059,1.0,0.042,0.185,0.085,0.038,0.004,0.155,0.084,0.101,0.017,0.004,0.068,0.077,0.027,0.022,0.057,0.146,0.061,0.043,0.0,0.146,0.064,0.012,0.127,0.207,0.004,0.152,0.004,0.0,0.022,0.023,0.17,0.034,0.0,0.099,0.004,0.039,0.097,0.05,0.0,0.09,0.053,0.078,0.061,0.077,0.1,0.033,0.015,0.173,0.045,0.014,0.083,0.025,0.156,0.031,0.067,0.161,0.038
Aperia Mall,0.035,0.042,1.0,0.032,0.03,0.019,0.0,0.025,0.024,0.038,0.018,0.01,0.032,0.033,0.022,0.033,0.039,0.049,0.017,0.021,0.01,0.026,0.035,0.019,0.035,0.025,0.0,0.039,0.0,0.0,0.033,0.009,0.033,0.031,0.0,0.031,0.011,0.019,0.026,0.019,0.011,0.04,0.026,0.029,0.043,0.037,0.014,0.015,0.004,0.039,0.039,0.024,0.038,0.007,0.032,0.032,0.033,0.061,0.018
Bedok Mall,0.064,0.185,0.032,1.0,0.118,0.036,0.004,0.193,0.108,0.155,0.024,0.004,0.076,0.09,0.019,0.018,0.031,0.156,0.071,0.056,0.004,0.153,0.081,0.013,0.19,0.174,0.004,0.211,0.0,0.004,0.041,0.027,0.185,0.066,0.021,0.102,0.005,0.043,0.107,0.058,0.005,0.093,0.058,0.084,0.069,0.083,0.114,0.041,0.017,0.167,0.076,0.019,0.108,0.033,0.18,0.043,0.109,0.162,0.046
Bugis Junction (Part of Bugis Town),0.071,0.085,0.03,0.118,1.0,0.021,0.0,0.111,0.043,0.074,0.015,0.004,0.046,0.08,0.015,0.015,0.018,0.075,0.045,0.086,0.0,0.128,0.096,0.011,0.142,0.082,0.0,0.097,0.0,0.0,0.034,0.043,0.107,0.034,0.012,0.071,0.004,0.061,0.099,0.068,0.0,0.038,0.025,0.085,0.042,0.076,0.105,0.038,0.036,0.09,0.038,0.008,0.087,0.022,0.112,0.024,0.08,0.079,0.076
Bugis+ (Part of Bugis Town),0.04,0.038,0.019,0.036,0.021,1.0,0.0,0.047,0.03,0.038,0.01,0.0,0.014,0.023,0.026,0.017,0.008,0.026,0.022,0.028,0.008,0.033,0.023,0.008,0.039,0.035,0.0,0.035,0.0,0.0,0.016,0.008,0.029,0.005,0.005,0.039,0.009,0.014,0.057,0.032,0.008,0.022,0.009,0.037,0.035,0.007,0.043,0.013,0.017,0.039,0.034,0.009,0.038,0.006,0.032,0.016,0.043,0.035,0.049
CQ @ Clarke Quay,0.0,0.004,0.0,0.004,0.0,0.0,1.0,0.004,0.005,0.008,0.0,0.0,0.004,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.003,0.003,0.0,0.004,0.002,0.011,0.005,0.0,0.007,0.0,0.0,0.002,0.006,0.007,0.008,0.0,0.0,0.0,0.003,0.0,0.014,0.005,0.0,0.009,0.0,0.005,0.005,0.0,0.005,0.0,0.013,0.0,0.0,0.004,0.0,0.007,0.005,0.0
Causeway Point,0.068,0.155,0.025,0.193,0.111,0.047,0.004,1.0,0.093,0.132,0.019,0.004,0.057,0.098,0.021,0.012,0.036,0.157,0.061,0.06,0.004,0.157,0.081,0.008,0.185,0.186,0.004,0.224,0.0,0.0,0.033,0.034,0.196,0.043,0.013,0.133,0.0,0.032,0.113,0.059,0.004,0.088,0.044,0.097,0.062,0.103,0.153,0.034,0.028,0.164,0.063,0.008,0.099,0.037,0.239,0.023,0.102,0.174,0.053
Century Square,0.044,0.084,0.024,0.108,0.043,0.03,0.005,0.093,1.0,0.057,0.017,0.011,0.034,0.049,0.018,0.018,0.04,0.102,0.039,0.012,0.005,0.082,0.038,0.011,0.075,0.092,0.006,0.09,0.0,0.0,0.032,0.014,0.137,0.025,0.0,0.079,0.006,0.015,0.053,0.02,0.0,0.059,0.033,0.06,0.042,0.025,0.017,0.033,0.011,0.102,0.052,0.019,0.055,0.009,0.101,0.021,0.066,0.116,0.034
City Square Mall,0.078,0.101,0.038,0.155,0.074,0.038,0.008,0.132,0.057,1.0,0.023,0.004,0.064,0.087,0.017,0.022,0.051,0.114,0.045,0.045,0.0,0.125,0.071,0.012,0.135,0.133,0.008,0.157,0.004,0.004,0.05,0.017,0.142,0.059,0.013,0.098,0.004,0.038,0.084,0.054,0.004,0.084,0.055,0.088,0.048,0.056,0.108,0.045,0.019,0.13,0.072,0.022,0.078,0.024,0.154,0.056,0.073,0.11,0.044
