mall_name,owner,owner_group,owner_type,address,postal_code,planning_region,nearest_mrt,latitude,longitude,num_stores,num_fnb,has_store_data,ownership_note
ION Orchard,CapitaLand Integrated Commercial Trust (CICT),CapitaLand,REIT,"2 Orchard Turn, Singapore 238801",238801,Orchard / Central Area,Orchard (NS22/TE14),1.303995,103.832036,278,67,True,50% interest
Plaza Singapura,CapitaLand Integrated Commercial Trust (CICT),CapitaLand,REIT,"68 Orchard Rd, Singapore 238839",238839,Orchard / Central Area,Dhoby Ghaut (NS24/NE6/CC1),1.300581,103.845132,294,88,True,
The Atrium@Orchard,CapitaLand Integrated Commercial Trust (CICT),CapitaLand,REIT,"60A Orchard Rd, Singapore 238890",238890,Orchard / Central Area,Dhoby Ghaut (NS24/NE6/CC1),,,0,0,False,
Bugis Junction,CapitaLand Integrated Commercial Trust (CICT),CapitaLand,REIT,"200 Victoria St, Singapore 188021",188021,Downtown Core / Bugis,Bugis (EW12/DT14),1.29906,103.85544,241,80,True,
Bugis+,CapitaLand Integrated Commercial Trust (CICT),CapitaLand,REIT,"201 Victoria St, Singapore 188067",188067,Downtown Core / Bugis,Bugis (EW12/DT14),1.29963,103.8543,94,39,True,
Funan,CapitaLand Integrated Commercial Trust (CICT),CapitaLand,REIT,"107 North Bridge Rd, Singapore 179105",179105,Civic District / Downtown,City Hall (NS25/EW13),1.2912343,103.850153,190,73,True,
Raffles City Singapore,CapitaLand Integrated Commercial Trust (CICT),CapitaLand,REIT,"252 North Bridge Rd, Singapore 179103",179103,Civic District / Downtown,City Hall (NS25/EW13),1.29385,103.85284,262,96,True,
CQ @ Clarke Quay,CapitaLand Integrated Commercial Trust (CICT),CapitaLand,REIT,"3 River Valley Rd, Singapore 179024",179024,Singapore River / Central,"Fort Canning (DT20), Clarke Quay (NE5)",1.29061,103.84655,60,38,True,
Bedok Mall,CapitaLand Integrated Commercial Trust (CICT),CapitaLand,REIT,"311 New Upper Changi Rd, Singapore 467360",467360,Bedok / East Region,Bedok (EW5),1.32517052,103.9298715,194,78,True,
Tampines Mall,CapitaLand Integrated Commercial Trust (CICT),CapitaLand,REIT,"4 Tampines Central 5, Singapore 529510",529510,Tampines / East Region,Tampines (EW2/DT32),1.3528955,103.9448539,149,53,True,
Junction 8,CapitaLand Integrated Commercial Trust (CICT),CapitaLand,REIT,"9 Bishan Place, Singapore 579837",579837,Bishan / Central Region,Bishan (NS17/CC15),1.3505294,103.8484368,171,60,True,
Westgate,CapitaLand Integrated Commercial Trust (CICT),CapitaLand,REIT,"3 Gateway Drive, Singapore 608532",608532,Jurong East / West Region,Jurong East (NS1/EW24),1.3351,103.74192,244,83,True,
IMM Building,CapitaLand Integrated Commercial Trust (CICT),CapitaLand,REIT,"2 Jurong East Street 21, Singapore 609601",609601,Jurong East / West Region,Jurong East (NS1/EW24),1.334804,103.746879,229,57,True,
Lot One Shoppers' Mall,CapitaLand Integrated Commercial Trust (CICT),CapitaLand,REIT,"21 Choa Chu Kang Ave 4, Singapore 689812",689812,Choa Chu Kang / West,Choa Chu Kang (NS4/BP1),1.38518,103.74506,145,52,True,
Aperia Mall,CapitaLand Ascendas REIT (CLAR),CapitaLand,REIT,"12 Kallang Ave, Singapore 339511",339511,Kallang / Central Region,"Lavender (EW11), Bendemeer (DT23)",1.309689,103.86437,67,42,True,
Causeway Point,Frasers Centrepoint Trust (FCT),Frasers Property,REIT,"1 Woodlands Square, Singapore 738099",738099,Woodlands / North Region,Woodlands (NS9/TE2),,,222,80,True,
Northpoint City,Frasers Centrepoint Trust (FCT),Frasers Property,REIT,"930 Yishun Ave 2, Singapore 769098",769098,Yishun / North Region,Yishun (NS13),,,407,179,True,North & South Wing
NEX,Frasers Centrepoint Trust (FCT),Frasers Property,REIT,"23 Serangoon Central, Singapore 556083",556083,Serangoon / North-East,Serangoon (NE12/CC13),,,0,0,False,50% interest
Waterway Point,Frasers Centrepoint Trust (FCT),Frasers Property,REIT,"83 Punggol Central, Singapore 828761",828761,Punggol / North-East,Punggol (NE17/PTC),,,226,92,True,50% interest
Tampines 1,Frasers Centrepoint Trust (FCT),Frasers Property,REIT,"10 Tampines Central 1, Singapore 529536",529536,Tampines / East Region,Tampines (EW2/DT32),,,186,76,True,
Century Square,Frasers Centrepoint Trust (FCT),Frasers Property,REIT,"2 Tampines Central 5, Singapore 529509",529509,Tampines / East Region,Tampines (EW2/DT32),,,145,52,True,
White Sands,Frasers Centrepoint Trust (FCT),Frasers Property,REIT,"1 Pasir Ris Central Street 3, Singapore 518457",518457,Pasir Ris / East Region,Pasir Ris (EW1),,,143,61,True,
