mall,owner_group,owner,region,shops,fnb,fnb_pct,chain_share
Northpoint City,Frasers Property,Frasers Centrepoint Trust (FCT),Suburban / Heartland,407,179,44,0.781
Suntec City,ESR Group,Suntec REIT,Downtown / Central,396,168,42,0.584
Jurong Point,Link REIT (formerly Mercatus),Link REIT (formerly Mercatus),Suburban / Heartland,380,142,37,0.707
Plaza Singapura,CapitaLand,CapitaLand Integrated Commercial Trust (CICT),Orchard belt,294,88,30,0.71
ION Orchard,CapitaLand,CapitaLand Integrated Commercial Trust (CICT),Orchard belt,278,67,24,0.686
Raffles City Shopping Centre,,,Unknown,262,96,37,0.602
Jewel Changi Airport,Changi Airport Group & CapitaLand,"CapitaLand (sponsor / managed, e.g. JV)",Suburban / Heartland,261,116,44,0.658
Jem,Lendlease,Lendlease Global Commercial REIT (LREIT),Suburban / Heartland,252,90,36,0.841
Westgate,CapitaLand,CapitaLand Integrated Commercial Trust (CICT),Suburban / Heartland,244,83,34,0.807
Bugis Junction (Part of Bugis Town),,,Unknown,241,80,33,0.68
IMM Building,CapitaLand,CapitaLand Integrated Commercial Trust (CICT),Suburban / Heartland,229,57,25,0.36
Waterway Point,Frasers Property,Frasers Centrepoint Trust (FCT),Suburban / Heartland,226,92,41,0.862
Causeway Point,Frasers Property,Frasers Centrepoint Trust (FCT),Suburban / Heartland,222,80,36,0.864
Great World,Kuok Group,Allgreen Properties,Downtown / Central,218,86,39,0.615
Marina Square,UOL Group,Singapore Land Group (SingLand),Downtown / Central,216,65,30,0.363
The Shoppes at Marina Bay Sands,Las Vegas Sands Corp.,Las Vegas Sands Corp.,Downtown / Central,214,7,3,0.636
City Square Mall,Hong Leong Group,City Developments Limited (CDL),Suburban / Heartland,209,74,35,0.622
AMK Hub,Mercatus Co-operative (NTUC),Mercatus Co-operative (NTUC),Suburban / Heartland,205,97,47,0.799
PLQ Mall,Lendlease,Lendlease Global Commercial REIT (LREIT),Suburban / Heartland,196,83,42,0.724
Paragon,Cuscaden Peak Investments,Paragon REIT,Orchard belt,196,60,31,0.577
Bedok Mall,CapitaLand,CapitaLand Integrated Commercial Trust (CICT),Suburban / Heartland,194,78,40,0.856
Funan,CapitaLand,CapitaLand Integrated Commercial Trust (CICT),Downtown / Central,190,73,38,0.54
Tampines 1,Frasers Property,Frasers Centrepoint Trust (FCT),Suburban / Heartland,186,76,41,0.769
Junction 8,CapitaLand,CapitaLand Integrated Commercial Trust (CICT),Suburban / Heartland,171,60,35,0.888
Tiong Bahru Plaza,Frasers Property,Frasers Centrepoint Trust (FCT),Suburban / Heartland,149,65,44,0.845
Tampines Mall,CapitaLand,CapitaLand Integrated Commercial Trust (CICT),Suburban / Heartland,149,53,36,0.812
Ngee Ann City,YTL Corporation,Starhill Global REIT,Orchard belt,148,36,24,0.503
Century Square,Frasers Property,Frasers Centrepoint Trust (FCT),Suburban / Heartland,145,52,36,0.793
Lot One Shoppers' Mall,CapitaLand,CapitaLand Integrated Commercial Trust (CICT),Suburban / Heartland,145,52,36,0.876
White Sands,Frasers Property,Frasers Centrepoint Trust (FCT),Suburban / Heartland,143,61,43,0.853
The Centrepoint,Frasers Property,,Orchard belt,139,29,21,0.41
313@somerset,Lendlease,Lendlease Global Commercial REIT (LREIT),Orchard belt,138,56,41,0.645
Square 2,Far East Organization,Far East Organization,Suburban / Heartland,134,50,37,0.478
Velocity@Novena Square,UOL Group,UOL Group Limited,Suburban / Heartland,123,50,41,0.699
United Square,UOL Group,UOL Group Limited,Suburban / Heartland,118,40,34,0.585
Hougang Mall,Frasers Property,Frasers Centrepoint Trust (FCT),Suburban / Heartland,103,46,45,0.874
Wisma Atria,YTL Corporation,Starhill Global REIT,Orchard belt,100,30,30,0.707
Clarke Quay Central,Far East Organization,Far East Organization,Downtown / Central,99,42,42,0.253
One Holland Village,Far East Organization,Far East Organization,Suburban / Heartland,97,46,47,0.577
West Coast Plaza,Far East Organization,Far East Organization,Suburban / Heartland,95,23,24,0.474
Bugis+ (Part of Bugis Town),,,Unknown,94,39,41,0.564
Orchard Central,Far East Organization,Far East Organization,Orchard belt,92,34,37,0.304
VivoCity,Mapletree,Mapletree Pan Asia Commercial Trust (MPACT),Suburban / Heartland,89,30,34,0.388
Sengkang Grand Mall,Hong Leong Group,City Developments Limited (CDL),Suburban / Heartland,88,40,45,0.852
Mandarin Gallery,OUE Limited,,Orchard belt,77,15,19,0.234
Aperia Mall,CapitaLand,CapitaLand Ascendas REIT (CLAR),Suburban / Heartland,67,42,63,0.478
CQ @ Clarke Quay,CapitaLand,CapitaLand Integrated Commercial Trust (CICT),Downtown / Central,60,38,63,0.085
Swing By @ Thomson Plaza,Link REIT,,Suburban / Heartland,55,34,62,0.764
Junction 10,Far East Organization,,Suburban / Heartland,40,13,32,0.475
Hougang 1,Far East Organization,,Suburban / Heartland,39,20,51,0.769
Icon Village,Far East Organization,,Downtown / Central,38,27,71,0.158
Far East Square,Far East Organization,,Downtown / Central,34,34,100,0.235
Katong V,Far East Organization,,Suburban / Heartland,33,9,27,0.273
Lucky Chinatown,Far East Organization,,Downtown / Central,28,2,7,0.071
HillV2,Far East Organization,,Suburban / Heartland,28,13,46,0.571
Riverside Point,Far East Organization,,Downtown / Central,27,5,19,0.111
Greenwich V,Far East Organization,,Suburban / Heartland,24,7,29,0.625
Pacific Plaza,Far East Organization,,Orchard belt,23,4,17,0.087
Valley Point,Frasers Property,,Downtown / Central,21,0,0,0.45
