brand,segment,provenance,outlets
Starbucks,F&B,Foreign,34
Ya Kun Kaya Toast,F&B,Singaporean,33
Old Chang Kee,F&B,Singaporean,27
Toast Box,F&B,Singaporean,27
Subway,F&B,Foreign,24
The Coffee Bean & Tea Leaf,F&B,Foreign,23
Mr. Coconut,F&B,Singaporean,22
Wok Hey,F&B,Singaporean,22
McDonald's,F&B,Foreign,21
Boost Juice,F&B,Foreign,21
BreadTalk,F&B,Singaporean,20
Stuff'd,F&B,Singaporean,20
Sanook Kitchen,F&B,Singaporean,19
LiHO,F&B,Singaporean,18
Din Tai Fung,F&B,Foreign,18
Luckin Coffee,F&B,Foreign,17
SUKIYA,F&B,Foreign,17
KOI Thé,F&B,Singaporean,17
Mr Bean,F&B,Singaporean,17
Tori-Q,F&B,Foreign,17
CHICHA San Chen,F&B,Foreign,17
Bengawan Solo,F&B,Singaporean,17
Paris Baguette,F&B,Foreign,16
Chateraise,F&B,Foreign,16
Bee Cheng Hiang,F&B,Singaporean,16
Four Leaves,F&B,Singaporean,16
KFC,F&B,Foreign,16
PlayMade,F&B,Singaporean,15
CHAGEE,F&B,Foreign,15
Polar Puffs & Cakes,F&B,Singaporean,15
Fun Toast,F&B,Singaporean,14
TALAD THAI BANANA,F&B,Foreign,13
Dian Xiao Er,F&B,Singaporean,13
The Soup Spoon,F&B,Singaporean,12
Nine Fresh,F&B,Foreign,12
DUNKIN',F&B,Unknown,12
Genki Sushi,F&B,Foreign,12
Burger King,F&B,Foreign,12
Potato Corner,F&B,Foreign,12
Sushi Express,F&B,Foreign,11
Xiang Xiang Hunan Cuisine,F&B,Foreign,11
MOS Burger,F&B,Foreign,11
Swensen's,F&B,Singaporean,11
Munchi Pancakes,F&B,Singaporean,11
Crave,F&B,Singaporean,11
Sushiro,F&B,Foreign,10
EAT.,F&B,Unknown,10
Gong Yuan Ma La Tang,F&B,Foreign,10
Famous Amos,F&B,Foreign,10
Sushi Tei,F&B,Foreign,10
Guzman Y Gomez,F&B,Foreign,10
KOI THE,F&B,Singaporean,9
Shihlin Taiwan Street Snacks,F&B,Foreign,9
Super Sushi,F&B,Unknown,9
Gochi-So Shokudo,F&B,Singaporean,9
Jollibee,F&B,Foreign,9
Pezzo,F&B,Singaporean,9
Krispy Kreme,F&B,Foreign,9
Auntie Anne's,F&B,Foreign,9
Haidilao Hot Pot,F&B,Foreign,9
Cedele,F&B,Singaporean,9
PUTIEN,F&B,Singaporean,9
Kopi & Tarts,F&B,Singaporean,8
Saizeriya,F&B,Foreign,8
KAZO,F&B,Unknown,8
Dough Culture,F&B,Unknown,8
COLLIN’S®,F&B,Singaporean,8
Nam Kee Pau,F&B,Singaporean,8
Wingstop,F&B,Foreign,8
Monster Curry,F&B,Foreign,8
llaollao,F&B,Foreign,8
Mister Donut,F&B,Foreign,8
Steak 99,F&B,Singaporean,8
Wine Connection,F&B,Singaporean,8
Ichiban Boshi,F&B,Singaporean,8
Tim Ho Wan,F&B,Foreign,7
Kenangan Coffee,F&B,Foreign,7
IPPUDO,F&B,Foreign,7
Yakiniku Shokudo,F&B,Singaporean,7
Malaysia Boleh!,F&B,Singaporean,7
Dabba Street,F&B,Singaporean,7
Nan Yang Dao,F&B,Singaporean,7
Long John Silver's,F&B,Foreign,7
Yakiniku Like,F&B,Foreign,7
PastaMania,F&B,Singaporean,7
Maki-San,F&B,Singaporean,7
Kopitiam,F&B,Singaporean,7
Tai Cheong Bakery,F&B,Foreign,7
Crystal Jade Hong Kong Kitchen,F&B,Foreign,7
Food Republic,F&B,Singaporean,7
Kuriya Japanese Market,F&B,Singaporean,7
MIXUE,F&B,Foreign,7
Song Fa Bak Kut Teh,F&B,Singaporean,7
BEUTEA,F&B,Singaporean,6
Yolé,F&B,Singaporean,6
I Love Taimei,F&B,Foreign,6
SWEE HENG 1989 Classic,F&B,Singaporean,6
An Acai Affair,F&B,Singaporean,6
Tun Xiang Hokkien Delights,F&B,Unknown,6
Zhang Liang Mala Tang,F&B,Foreign,6
Greendot,F&B,Singaporean,6
Eighteen Plum,F&B,Unknown,6
NiKU iKU,F&B,Unknown,6
Mincheng Bibimbap,F&B,Unknown,6
Tiong Bahru Bakery,F&B,Singaporean,6
Awfully Chocolate,F&B,Singaporean,6
Tongue Tip Lanzhou Beef Noodles,F&B,Foreign,6
Qi Ji,F&B,Singaporean,6
Butter & Cream,F&B,Unknown,6
Fish & Co.,F&B,Singaporean,6
Henri Charpentier,F&B,Unknown,6
Kei Kaisendon,F&B,Unknown,6
Bakery Cuisine,F&B,Unknown,5
Ottie Pancakes,F&B,Unknown,5
Twyst,F&B,Unknown,5
Baskin Robbins,F&B,Foreign,5
Canton Paradise,F&B,Foreign,5
Encik Tan,F&B,Singaporean,5
Hot Tomato,F&B,Singaporean,5
Pepper Lunch,F&B,Foreign,5
Seoul Garden,F&B,Foreign,5
YGF MALATANG,F&B,Unknown,5
Astons Specialities,F&B,Singaporean,5
Shake Shack,F&B,Foreign,5
Cat & the Fiddle,F&B,Singaporean,5
PrimaDéli,F&B,Singaporean,5
Go-Ang Pratunam Chicken Rice,F&B,Unknown,5
Tim Hortons,F&B,Foreign,5
Garrett Popcorn Shops,F&B,Foreign,5
Gokoku Japanese Bakery,F&B,Unknown,5
Paradise Dynasty,F&B,Singaporean,5
Shabu Sai,F&B,Unknown,5
HEYTEA,F&B,Foreign,5
Ajumma's,F&B,Unknown,5
4FINGERS Crispy Chicken,F&B,Unknown,5
Aburi-EN,F&B,Unknown,5
Eat 3 Bowls,F&B,Unknown,5
A-One Signature,F&B,Unknown,5
Yew Kee Specialities,F&B,Unknown,5
Soup Restaurant,F&B,Singaporean,5
Koo Kee,F&B,Unknown,5
Duke Bakery,F&B,Unknown,4
Fragrance,F&B,Unknown,4
Now Pizza,F&B,Unknown,4
Ho Kee Pau,F&B,Unknown,4
YOSHINOYA,F&B,Foreign,4
Saap Saap Thai,F&B,Unknown,4
Ajisen Tanjiro,F&B,Unknown,4
LeNu Chef Wai’s Noodle Bar,F&B,Unknown,4
Ritz Apple Strudel,F&B,Unknown,4
LITTLE POND,F&B,Unknown,4
Josh's Grill,F&B,Unknown,4
Nunsaram Korean Dessert Cafe,F&B,Unknown,4
108 Matcha Saro,F&B,Unknown,4
Nando's,F&B,Foreign,4
CoCo ICHIBANYA,F&B,Unknown,4
Geláre,F&B,Unknown,4
rumeL,F&B,Unknown,4
Shihlin Taiwan Street Food,F&B,Unknown,4
White Restaurant,F&B,Singaporean,4
Eat Pizza,F&B,Unknown,4
Red Ginger,F&B,Unknown,4
Popeyes,F&B,Foreign,4
Yuen Kee Dumpling,F&B,Unknown,4
Food Junction,F&B,Singaporean,4
Chocolate Origin,F&B,Unknown,4
Hoshino Coffee,F&B,Foreign,4
Beard Papa’s,F&B,Foreign,4
Da Paolo Gastronomia,F&B,Unknown,4
Rive Gauche Patisserie,F&B,Unknown,4
Venchi,F&B,Unknown,4
PS.CAFE,F&B,Singaporean,4
So Pho,F&B,Unknown,4
Tai Chong Kok,F&B,Unknown,4
Tonkatsu by Ma Maison,F&B,Unknown,4
Mr. Onigiri,F&B,Unknown,4
Délifrance,F&B,Unknown,4
Lao Huo Tang,F&B,Unknown,4
Tonkatsu ENbiton,F&B,Unknown,4
Old Tea Hut,F&B,Unknown,4
Papa Ayam,F&B,Unknown,4
