shop,type,num_malls,num_outlets,malls
Starbucks,F&B,35,36,"313@somerset, AMK Hub, Aperia Mall, Bedok Mall, Bugis Junction (Part of Bugis Town), Bugis+ (Part of Bugis Town), Century Square, City Square Mall, Clarke Quay Central, Great World, HillV2, Hougang Mall, ION Orchard, Jem, Jewel Changi Airport, Jurong Point, Marina Square, Northpoint City, One Holland Village, Pacific Plaza, Paragon, Plaza Singapura, Raffles City Shopping Centre, Suntec City, Swing By @ Thomson Plaza, The Centrepoint, United Square, Valley Point, Velocity@Novena Square, VivoCity, Waterway Point, West Coast Plaza, Westgate, White Sands, Wisma Atria"
Ya Kun Kaya Toast,F&B,33,34,"313@somerset, AMK Hub, Aperia Mall, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, Century Square, City Square Mall, Clarke Quay Central, Far East Square, Funan, Great World, IMM Building, ION Orchard, Jem, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Marina Square, Northpoint City, One Holland Village, Paragon, Plaza Singapura, Raffles City Shopping Centre, Suntec City, Swing By @ Thomson Plaza, Tiong Bahru Plaza, United Square, VivoCity, Waterway Point, Westgate, White Sands"
Old Chang Kee,F&B,28,28,"313@somerset, AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, City Square Mall, Funan, Hougang Mall, IMM Building, ION Orchard, Jem, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Paragon, Plaza Singapura, Raffles City Shopping Centre, Sengkang Grand Mall, Swing By @ Thomson Plaza, Tiong Bahru Plaza, United Square, Velocity@Novena Square, VivoCity, Waterway Point, White Sands"
Toast Box,F&B,28,28,"313@somerset, AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, City Square Mall, Funan, Great World, Greenwich V, IMM Building, ION Orchard, Jem, Junction 8, Jurong Point, Ngee Ann City, One Holland Village, PLQ Mall, Paragon, Raffles City Shopping Centre, Suntec City, Tampines 1, Tampines Mall, The Centrepoint, United Square, Velocity@Novena Square, VivoCity, West Coast Plaza, Westgate"
Subway,F&B,24,24,"313@somerset, Aperia Mall, Bedok Mall, Bugis Junction (Part of Bugis Town), City Square Mall, Clarke Quay Central, Great World, Hougang Mall, IMM Building, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Paragon, Suntec City, Swing By @ Thomson Plaza, Tampines 1, Tiong Bahru Plaza, Velocity@Novena Square, Waterway Point, West Coast Plaza, White Sands, Wisma Atria"
The Coffee Bean & Tea Leaf,F&B,24,24,"AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Bugis+ (Part of Bugis Town), Causeway Point, Century Square, Greenwich V, IMM Building, Jem, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Plaza Singapura, Raffles City Shopping Centre, Sengkang Grand Mall, Suntec City, Tiong Bahru Plaza, United Square, Velocity@Novena Square, VivoCity, Waterway Point, Wisma Atria"
Mr. Coconut,F&B,23,23,"AMK Hub, Bedok Mall, Causeway Point, Century Square, City Square Mall, Clarke Quay Central, Hougang Mall, IMM Building, Jewel Changi Airport, Junction 8, Jurong Point, Northpoint City, One Holland Village, PLQ Mall, Suntec City, Tampines 1, Tiong Bahru Plaza, Velocity@Novena Square, VivoCity, Waterway Point, Westgate, White Sands, Wisma Atria"
Wok Hey,F&B,23,23,"AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, City Square Mall, Funan, Great World, Hougang Mall, IMM Building, Jem, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Plaza Singapura, Raffles City Shopping Centre, Suntec City, Tampines 1, Tiong Bahru Plaza, Velocity@Novena Square, VivoCity, Waterway Point, White Sands"
Boost Juice,F&B,22,22,"313@somerset, Bugis Junction (Part of Bugis Town), Causeway Point, City Square Mall, Funan, Great World, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, One Holland Village, PLQ Mall, Paragon, Plaza Singapura, Raffles City Shopping Centre, Suntec City, Swing By @ Thomson Plaza, Tampines 1, VivoCity, Waterway Point, White Sands"
McDonald's,F&B,22,22,"Aperia Mall, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, City Square Mall, Funan, Great World, Hougang 1, Jem, Jewel Changi Airport, Junction 8, Lot One Shoppers' Mall, Marina Square, Northpoint City, Plaza Singapura, Sengkang Grand Mall, Suntec City, Tiong Bahru Plaza, United Square, VivoCity, Waterway Point, White Sands"
