shop,type,num_malls,num_outlets,malls
Watsons,Retail,39,39,"AMK Hub, Aperia Mall, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, City Square Mall, Funan, Great World, Hougang 1, Hougang Mall, IMM Building, ION Orchard, Jem, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Marina Square, Ngee Ann City, Northpoint City, One Holland Village, PLQ Mall, Plaza Singapura, Raffles City Shopping Centre, Sengkang Grand Mall, Suntec City, Swing By @ Thomson Plaza, Tampines 1, Tampines Mall, The Centrepoint, The Shoppes at Marina Bay Sands, Tiong Bahru Plaza, United Square, Velocity@Novena Square, VivoCity, Waterway Point, West Coast Plaza, Westgate, White Sands"
Guardian,Retail,35,36,"313@somerset, AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, Century Square, Clarke Quay Central, Funan, Great World, Greenwich V, HillV2, Hougang Mall, IMM Building, Jem, Junction 8, Jurong Point, Lot One Shoppers' Mall, Ngee Ann City, Northpoint City, One Holland Village, PLQ Mall, Plaza Singapura, Raffles City Shopping Centre, Sengkang Grand Mall, Suntec City, Swing By @ Thomson Plaza, Tampines Mall, The Centrepoint, The Shoppes at Marina Bay Sands, Tiong Bahru Plaza, United Square, Velocity@Novena Square, Waterway Point, Westgate, White Sands"
LAC,Retail,31,31,"AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, City Square Mall, Funan, Great World, Hougang Mall, IMM Building, ION Orchard, Jem, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Paragon, Plaza Singapura, Raffles City Shopping Centre, Suntec City, Tampines Mall, The Centrepoint, The Shoppes at Marina Bay Sands, Tiong Bahru Plaza, United Square, Velocity@Novena Square, VivoCity, Waterway Point, West Coast Plaza, White Sands, Wisma Atria"
Eu Yan Sang,Retail,29,34,"AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, Century Square, City Square Mall, Great World, Hougang Mall, ION Orchard, Jem, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Paragon, Plaza Singapura, Raffles City Shopping Centre, Sengkang Grand Mall, Square 2, Suntec City, Tampines Mall, The Shoppes at Marina Bay Sands, Tiong Bahru Plaza, Velocity@Novena Square, VivoCity, Waterway Point, White Sands"
7-Eleven,Retail,29,30,"313@somerset, Aperia Mall, Bedok Mall, Bugis+ (Part of Bugis Town), Causeway Point, Great World, HillV2, IMM Building, ION Orchard, Icon Village, Jewel Changi Airport, Lot One Shoppers' Mall, Marina Square, Northpoint City, PLQ Mall, Paragon, Plaza Singapura, Raffles City Shopping Centre, Riverside Point, Sengkang Grand Mall, Square 2, Suntec City, Tiong Bahru Plaza, United Square, Velocity@Novena Square, VivoCity, Westgate, White Sands, Wisma Atria"
FairPrice,Retail,26,27,"AMK Hub, Bedok Mall, CQ @ Clarke Quay, Causeway Point, Century Square, City Square Mall, Funan, Hougang 1, Jem, Jewel Changi Airport, Junction 8, Jurong Point, Katong V, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Sengkang Grand Mall, Square 2, Swing By @ Thomson Plaza, Tampines Mall, The Centrepoint, Tiong Bahru Plaza, Valley Point, VivoCity, Waterway Point, White Sands"
OWNDAYS,Retail,26,26,"313@somerset, AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Bugis+ (Part of Bugis Town), Causeway Point, Century Square, City Square Mall, Hougang Mall, ION Orchard, Jem, Jewel Changi Airport, Jurong Point, Ngee Ann City, Northpoint City, PLQ Mall, Plaza Singapura, Raffles City Shopping Centre, Suntec City, The Shoppes at Marina Bay Sands, Tiong Bahru Plaza, Velocity@Novena Square, VivoCity, Waterway Point, Westgate, White Sands"
Skechers,Retail,25,25,"313@somerset, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, Century Square, City Square Mall, Great World, Hougang Mall, Jem, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Marina Square, Northpoint City, Paragon, Plaza Singapura, Suntec City, Tampines 1, Tiong Bahru Plaza, Velocity@Novena Square, VivoCity, Waterway Point, White Sands, Wisma Atria"
Challenger,Retail,24,24,"313@somerset, AMK Hub, Bedok Mall, Causeway Point, City Square Mall, Funan, Great World, IMM Building, ION Orchard, Jem, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Plaza Singapura, Suntec City, Tampines 1, Tampines Mall, Tiong Bahru Plaza, VivoCity, Waterway Point, White Sands"
kcuts,Retail,24,24,"AMK Hub, Aperia Mall, Causeway Point, Century Square, Great World, Greenwich V, HillV2, Hougang Mall, Junction 10, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Sengkang Grand Mall, Suntec City, Tampines 1, Tiong Bahru Plaza, United Square, Valley Point, Velocity@Novena Square, Waterway Point, Westgate, White Sands"
OCBC,Retail,23,25,"AMK Hub, Bugis Junction (Part of Bugis Town), Bugis+ (Part of Bugis Town), Causeway Point, Great World, Hougang Mall, IMM Building, Jem, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Paragon, Plaza Singapura, Raffles City Shopping Centre, Suntec City, Tampines Mall, Tiong Bahru Plaza, United Square, Waterway Point, Westgate, White Sands, Wisma Atria"
Singtel,Retail,23,24,"313@somerset, AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, City Square Mall, Funan, Great World, Hougang 1, ION Orchard, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Raffles City Shopping Centre, Sengkang Grand Mall, Tampines 1, Tampines Mall, Tiong Bahru Plaza, Velocity@Novena Square, Waterway Point, Westgate"
UNIQLO,Retail,23,23,"Bedok Mall, Bugis+ (Part of Bugis Town), Causeway Point, City Square Mall, Great World, ION Orchard, Jem, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Orchard Central, PLQ Mall, Plaza Singapura, Raffles City Shopping Centre, Sengkang Grand Mall, Suntec City, Tampines Mall, Tiong Bahru Plaza, Velocity@Novena Square, VivoCity, Waterway Point"
Spectacle Hut,Retail,22,22,"313@somerset, AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Century Square, City Square Mall, Great World, Jem, Jewel Changi Airport, Jurong Point, Lot One Shoppers' Mall, Ngee Ann City, Northpoint City, One Holland Village, Plaza Singapura, Raffles City Shopping Centre, The Shoppes at Marina Bay Sands, Tiong Bahru Plaza, VivoCity, Waterway Point, Westgate, White Sands"
Pet Lovers Centre,Retail,20,20,"Bedok Mall, Bugis Junction (Part of Bugis Town), City Square Mall, Great World, HillV2, Hougang Mall, Jem, Junction 10, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Plaza Singapura, Suntec City, Tampines Mall, The Centrepoint, United Square, Valley Point, West Coast Plaza, White Sands"
SK JEWELLERY,Retail,20,20,"AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, Great World, Hougang Mall, IMM Building, ION Orchard, Jem, Jewel Changi Airport, Junction 8, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Plaza Singapura, Square 2, Suntec City, Tampines Mall, VivoCity, Waterway Point"
